English,Hungary
exhaust,kipufogó
pout,ajakbiggyesztés
terrify,megijeszt
chapter,fejezet
insane,őrült
spell,varázslat
surely,biztosan
tray,tálca
alcohol,alkohol
chain,lánc
fashion,divat
garage,garázs
inquire,érdeklődni
candy,cukorka
similar,hasonló
bark,ugat
flirt,flört
pathetic,szánalmas
supply,kínálat
tower,torony
engine,motor
frozen,fagyott
map,térkép
toilet,WC
background,háttér
shudder,borzongás
spider,pók
adult,felnőtt
cheap,olcsó
clue,nyom
hazel,mogyoró
irritate,irritáljanak
sand,homok
quarter,negyed
spare,tartalék
American,amerikai
rid,megszabadulni
spat,köpött
pot,edény
awful,szörnyű
bleed,vérzik
fate,sors
jog,kocog
strike,sztrájk
grimace,fintor
holiday,ünnep
whistle,síp
agreement,megállapodás
dull,unalmas
expensive,drága
snatch,megragad
sometime,egykori
ability,képesség
campus,egyetem
collar,gallér
disturb,zavarni
flicker,vibrálás
proceed,folytassa
recently,nemrég
risk,kockázat
skill,készség
topic,téma
defense,védelem
fry,süt
luckily,szerencsére
retort,visszavágás
captain,kapitány
eaten,evett
glove,kesztyű
mid,középső
owner,tulajdonos
cheese,sajt
yank,ránt
afterward,utána
closely,szorosan
coach,edző
feather,madártoll
handsome,jóképű
New York,New York
pity,kár
signal,jel
sniff,szippantás
strap,szíj
contain,tartalmaz
survive,túlélni
sweater,pulóver
west,nyugat
drawer,fiók
leap,ugrás
major,őrnagy
peek,kandikál
suspect,gyanúsított
tour,kirándulás
freeze,fagy
heaven,ég
mask,maszk
surprisingly,meglepően
abruptly,hirtelen
begun,megkezdett
customer,vevő
pad,párna
design,tervezés
flop,flop
pride,büszkeség
yep,Igen
interview,interjú
makeup,smink
blast,robbanás
prince,herceg
rode,lovagolt
bubble,buborék
rent,bérlés
teen,tini
